SECONDS,ax,ay,az,qr,qi,qj,qk,gy,gp,gr
46.1319,0.3203125,-0.8085938,-0.3398438,0.1186523,-0.6008911,0.7842407,0.0989990,1.4882812,1.0332031,0.2812500
46.2319,0.3554688,-0.2421875,-0.0898438,0.0997925,-0.5947266,0.7973633,0.0230103,1.0625000,1.2832031,-0.0351562
46.3319,1.3046875,-0.3437500,-0.2031250,0.0656738,-0.5795898,0.8111572,-0.0428467,0.5605469,1.4140625,0.3945312
46.4319,1.2460938,0.5078125,-0.0546875,0.0283813,-0.5697021,0.8128052,-0.1184082,0.5546875,1.3242188,0.0332031
46.5319,0.5390625,0.0664062,1.1875000,0.0009766,-0.5468140,0.8007202,-0.2446289,2.1875000,2.6230469,0.0625000
46.6319,0.2382812,-0.8593750,0.1914062,0.0210571,0.5339355,-0.7829590,0.3184814,0.7246094,1.2617188,-0.0605469
46.7319,1.4140625,-1.1875000,0.9335938,0.0274048,0.5303955,-0.7890625,0.3085938,-0.4648438,-0.1992188,0.3300781
46.8318,4.7304688,-2.8125000,2.0195312,0.0397339,-0.5480347,0.8253784,-0.1297607,-2.6621094,-3.7226562,0.6464844
46.9319,1.7304688,-1.1757812,-1.3789062,0.1062012,-0.5714111,0.8094482,0.0838623,-2.4863281,-2.7890625,-0.5214844
47.0319,1.2929688,0.0195312,0.6796875,0.1871338,-0.5794067,0.7700195,0.1905518,-1.0898438,-2.8535156,-0.2167969
47.1309,1.1328125,-0.8593750,-1.2460938,0.2623901,-0.5731201,0.7507324,0.1976929,0.4121094,-1.8261719,-0.1562500
47.2309,-0.3789062,-1.4296875,-1.4687500,0.2420044,-0.5828247,0.7413940,0.2282715,-0.6699219,0.5175781,0.0292969
47.3309,-0.6093750,-2.1875000,-0.8867188,0.1398315,-0.5915527,0.7343140,0.3021240,-2.6191406,0.6914062,0.6914062
47.4309,0.7695312,-1.5429688,-0.5937500,0.0051270,-0.5930786,0.7316895,0.3359985,-2.1406250,1.5410156,0.7324219
47.5309,-0.7968750,-1.5195312,-1.1171875,0.1157837,0.5798950,-0.7123413,-0.3779907,-2.1816406,1.3867188,0.8574219
47.6309,0.1015625,-0.8984375,-1.3867188,0.2777100,0.5497437,-0.6682129,-0.4173584,-3.1445312,1.7480469,1.1152344
47.7308,0.2148438,-0.3867188,-1.1054688,0.4125977,0.4836426,-0.6151123,-0.4663696,-3.1132812,0.5527344,1.1035156
47.8309,-0.1132812,0.0976562,-0.6289062,0.5130005,0.4440918,-0.5738525,-0.4586182,-1.7324219,1.2402344,0.9003906
47.9309,1.0898438,-0.2929688,-0.1718750,0.5635376,0.4124756,-0.5662842,-0.4376831,-0.4726562,0.3066406,1.0273438
